ElementID,SetNumber,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount,PiecesPresent
9339,75105-1,1,Black,Minifigure Parts,73200,MINI BODY LOWER PART BLACK,/cdn/cs/set/assets/blt974e8ed31a9c5d05/9339.jpg,1015,0
242026,75105-1,4,Black,Plates,2420,CORNER PLATE 1X2X2,/cdn/cs/set/assets/bltc4825c65a356114a/242026.jpg,738,4
243126,75105-1,3,Black,Plates,2431,FLAT TILE 1X4,/cdn/cs/set/assets/blt6803623b01999914/243126.jpg,952,3
244526,75105-1,1,Black,Plates,2445,PLATE 2X12,/cdn/cs/set/assets/blt045a7d1e2f63adea/244526.jpg,401,1
300126,75105-1,2,Black,Bricks,3001,BRICK 2X4,/cdn/cs/set/assets/bltfeb4c126df403de0/300126.jpg,785,2
300426,75105-1,4,Black,Bricks,3004,BRICK 1X2,/cdn/cs/set/assets/blt41362383f8120185/300426.jpg,1049,4
302326,75105-1,55,Black,Plates,3023,PLATE 1X2,/cdn/cs/set/assets/bltf66a5a127590bc4c/302326.jpg,1816,55
303226,75105-1,1,Black,Plates,3032,PLATE 4X6,/cdn/cs/set/assets/blt25dda942b7d3ea9d/303226.jpg,480,1
303926,75105-1,3,Black,Bricks,3039,ROOF TILE 2X2/45°,/cdn/cs/set/assets/bltde7ab9c979d0cdd6/303926.jpg,439,3
346026,75105-1,6,Black,Plates,3460,PLATE 1X8,/cdn/cs/set/assets/bltf32873adb631b2a8/346026.jpg,665,6
362326,75105-1,3,Black,Plates,3623,PLATE 1X3,/cdn/cs/set/assets/blt4339cf7b5b50159d/362326.jpg,894,3
368026,75105-1,3,Black,Miscellaneous,3680,"TURN PLATE 2X2, LOWER PART",/cdn/cs/set/assets/bltd5fec78639e1b39b/368026.jpg,351,3
370226,75105-1,2,Black,Bricks,3702,TECHNIC BRICK 1X8,/cdn/product-assets/element.img.lod5photo.192x192/370226.jpg,266,2
393826,75105-1,1,Black,Miscellaneous,3938,PLATE 1X2 (ROCKING),/cdn/cs/set/assets/blt8f25c5089748025e/393826.jpg,256,0
400626,75105-1,1,Black,Minifigure Accessories,4006,SCREWDRIVER/SPANNER,/cdn/cs/set/assets/blt440db88c692e8f85/400626.jpg,339,0
614126,75105-1,4,Black,Plates,6141,ROUND PLATE 1X1,/cdn/cs/set/assets/blt1d55e0a54cb35585/614126.jpg,1072,4
617926,75105-1,1,Black,Plates,6179,PLATE 4X4 W. 4 KNOBS,/cdn/cs/set/assets/blt334f77d78ad76227/617926.jpg,150,1
4107761,75105-1,2,Black,Plates,32028,PLATE 1X2 WITH SLIDE,/cdn/cs/set/assets/blt0df2bfc21e55ef9c/4107761.jpg,354,2
4141580,75105-1,1,Black,Connectors,4735,HOLDER 16 MM,/cdn/product-assets/element.img.lod5photo.192x192/4141580.jpg,111,0
4163373,75105-1,1,Black,Bricks,3043,RIDGED TILE 2X2/45°,/cdn/product-assets/element.img.lod5photo.192x192/4163373.jpg,58,0
4498713,75105-1,1,Black,Minifigure Accessories,58247,Blaster Medium,/cdn/product-assets/element.img.lod5photo.192x192/4498713.jpg,205,0
4517986,75105-1,1,Black,Miscellaneous,61485,BOTTOM W. TURNTABLE 4X4,/cdn/product-assets/element.img.lod5photo.192x192/4517986.jpg,289,1
4535739,75105-1,2,Black,Plates,63868,"PLATE 2X1 W/HOLDER,VERTICAL",/cdn/cs/set/assets/bltca4ed3e693ef6246/4535739.jpg,219,2
4558957,75105-1,1,Black,Bricks,87081,BRICK 4X4 ROUND W. Ø4.9 W. KL.,/cdn/cs/set/assets/blt6d1aa2f695b09258/4558957.jpg,127,1
4584274,75105-1,8,Black,Bricks,87620,Brick 2x2 w. angle 45 degrees,/cdn/cs/set/assets/bltdee5934562c810e9/4584274.jpg,80,3
4598528,75105-1,2,Black,Plates,92280,PLATE 1X2 W. VERTICAL GRIP,/cdn/cs/set/assets/blte4b2c183f3e98aca/4598528.jpg,269,2
4609050,75105-1,1,Black,Minifigure Accessories,92738,BLASTER SMALL,/cdn/product-assets/element.img.lod5photo.192x192/4609050.jpg,136,0
6021512,75105-1,1,Black,Plates,42125,DÆKPLADE 1X2 'NR. 70',/cdn/product-assets/element.img.lod5photo.192x192/6021512.jpg,35,0
6060815,75105-1,1,Black,Minifigure Parts,92756,QUI-GON JINN WIG,/cdn/product-assets/element.img.lod5photo.192x192/6060815.jpg,5,0
6117858,75105-1,1,Black,Miscellaneous,20105,MINI SHOOTER CB W. Ø3.2 SHAFT,/cdn/product-assets/element.img.lod5photo.192x192/6117858.jpg,17,0
6117973,75105-1,13,Black,Plates,21712,ANGLE PLATE 1X2 / 2X2,/cdn/cs/set/assets/blt6fbfa77fc9e5124c/6117973.jpg,328,12
6122096,75105-1,1,Black,Minifigure Parts,21778,MINI WIG NO. 104,/cdn/cs/set/assets/blt553ae93a276c3224/6122096_front.png,59,0
6127398,75105-1,1,Black,Minifigure Accessories,23957,SHIELD ' NO.7',/cdn/product-assets/element.img.lod5photo.192x192/6127398.jpg,3,0
6127401,75105-1,1,Black,Minifigure Parts,23958,MINI LOWER PART 'NO. 960',/cdn/product-assets/element.img.lod5photo.192x192/6127401.jpg,3,0
6127437,75105-1,1,Black,Minifigure Parts,23967,MINI LOWER PART 'NO. 961',/cdn/product-assets/element.img.lod5photo.192x192/6127437.jpg,1,0
6146220,75105-1,3,Black,Buildings & Furniture,26169,WALL ELEMENT 1X2X1,/cdn/product-assets/element.img.lod5photo.192x192/6146220.jpg,123,0
4121715,75105-1,36,Black,Connectors,2780,CONNECTOR PEG W. FRICTION,/cdn/cs/set/assets/blt935b4468e2952081/4121715.jpg,2207,36
4184169,75105-1,4,Black,Connectors,6628,BALL WITH FRICTION SNAP,/cdn/product-assets/element.img.lod5photo.192x192/4184169.jpg,398,4
4495935,75105-1,2,Black,Technic Beams,32524,TECHNIC 7M BEAM,/cdn/cs/set/assets/bltf07ddceda1958163/4495935.jpg,264,2
4113917,75105-1,3,Brick Yellow,Plates,3023,PLATE 1X2,/cdn/cs/set/assets/blte690840ea2e3727f/4113917.jpg,870,3
4114026,75105-1,8,Brick Yellow,Plates,3069,FLAT TILE 1X2,/cdn/cs/set/assets/blte8d80be0e112a57e/4114026.jpg,420,3
4114084,75105-1,23,Brick Yellow,Plates,3022,PLATE 2X2,/cdn/cs/set/assets/blt983bca879ff4c1d4/4114084.jpg,583,10
4114306,75105-1,1,Brick Yellow,Bricks,3003,BRICK 2X2,/cdn/cs/set/assets/blt224310c98da958cc/4114306.jpg,355,1
4114319,75105-1,2,Brick Yellow,Bricks,3001,BRICK 2X4,/cdn/cs/set/assets/bltbff237e63473d67c/4114319.jpg,290,2
4117070,75105-1,2,Brick Yellow,Bricks,3062,ROUND BRICK 1X1,/cdn/cs/set/assets/blt474cd45adc140f75/4117070.jpg,232,0
4124067,75105-1,5,Brick Yellow,Plates,3666,PLATE 1X6,/cdn/cs/set/assets/blt54bc05514547a2ef/4124067.jpg,345,2
4140562,75105-1,4,Brick Yellow,Plates,4032,PLATE 2X2 ROUND,/cdn/cs/set/assets/blt928d1d44569b1f02/4140562.jpg,244,1
4161734,75105-1,9,Brick Yellow,Plates,6141,ROUND PLATE 1X1,/cdn/cs/set/assets/blt3a5d1baa995f121c/4161734.jpg,358,2
4218749,75105-1,6,Brick Yellow,Bricks,30136,PALISADE BRICK 1X2,/cdn/cs/set/assets/blt618ff2efe48786f9/4218749.jpg,218,5
4234365,75105-1,2,Brick Yellow,Bricks,3701,"TECHNIC BRICK 1X4, Ø4,9",/cdn/product-assets/element.img.lod5photo.192x192/4234365.jpg,64,0
4249019,75105-1,2,Brick Yellow,Plates,3832,PLATE 2X10,/cdn/cs/set/assets/bltc978d05e87d71662/4249019.jpg,147,2
4500453,75105-1,6,Brick Yellow,Bricks,3747,ROOF TILE 2X3/25° INV.,/cdn/product-assets/element.img.lod5photo.192x192/4500453.jpg,48,0
4624086,75105-1,4,Brick Yellow,Bricks,85984,"ROOF TILE 1 X 2 X 2/3, ABS",/cdn/cs/set/assets/blt00d9fb9c7caae9b1/4624086.jpg,236,0
6013081,75105-1,3,Brick Yellow,Plates,11203,FLAT TILE 2X2 INV.,/cdn/product-assets/element.img.lod5photo.192x192/6013081.jpg,58,1
6079724,75105-1,4,Brick Yellow,Bricks,16577,BRICK W. BOW 1X8X2,/cdn/product-assets/element.img.lod5photo.192x192/6079724.jpg,24,2
6122047,75105-1,2,Brick Yellow,Plates,87079,FLAT TILE 2X4,/cdn/product-assets/element.img.lod5photo.192x192/6122047.jpg,175,1
302123,75105-1,2,Bright Blue,Plates,3021,PLATE 2X3,/cdn/cs/set/assets/bltf4842509b66e64b3/302123.jpg,411,2
4119014,75105-1,2,Bright Blue,Bricks,6541,TECHNIC BRICK 1X1,/cdn/product-assets/element.img.lod5photo.192x192/4119014.jpg,69,0
4206482,75105-1,2,Bright Blue,Connectors,43093,CONN.BUSH W.FRIC./CROSSALE,/cdn/cs/set/assets/bltbb48cde4adaa84c6/4206482.jpg,2010,2
4514553,75105-1,6,Bright Blue,Connectors,6558,CONNECTOR PEG W. FRICTION 3M,/cdn/product-assets/element.img.lod5photo.192x192/4514553.jpg,818,6
6240515,75105-1,1,Bright Orange,Miscellaneous,31510,ELEMENT SEPARATOR,/cdn/product-assets/element.img.lod5photo.192x192/6240515.jpg,842,0
300121,75105-1,1,Bright Red,Bricks,3001,BRICK 2X4,/cdn/cs/set/assets/blt397a36226e200f8a/300121.jpg,622,1
302021,75105-1,2,Bright Red,Plates,3020,PLATE 2X4,/cdn/cs/set/assets/blte2b3747cd61d84c2/302021.jpg,813,1
613421,75105-1,1,Bright Red,Miscellaneous,6134,PLATE 2X2 (ROCKING),/cdn/product-assets/element.img.lod5photo.192x192/613421.jpg,113,0
4611701,75105-1,5,Bright Red,Plates,88072,PLATE 1X2 W. VERTICAL SCHAFT,/cdn/product-assets/element.img.lod5photo.192x192/4611701.jpg,32,0
6019155,75105-1,3,Bright Red,Bricks,11211,BRICK 1X2 W. 2 KNOBS,/cdn/product-assets/element.img.lod5photo.192x192/6019155.jpg,178,0
4140806,75105-1,2,Bright Red,Connectors,32054,2M FRIC. SNAP W/CROSS HOLE,/cdn/product-assets/element.img.lod5photo.192x192/4140806.jpg,255,2
6058788,75105-1,1,Dark Brown,Minifigure Parts,76382,MINI UPPER PART NO. 2586,/cdn/product-assets/element.img.lod5photo.192x192/6058788.jpg,26,0
6063666,75105-1,1,Dark Brown,Minifigure Parts,16781,CREATURE NO. 13 'DEC NO 1',/cdn/product-assets/element.img.lod5photo.192x192/6063666.jpg,18,0
6063675,75105-1,1,Dark Brown,Minifigure Parts,16782,MINI LOWER PART 'NO. 632',/cdn/product-assets/element.img.lod5photo.192x192/6063675.jpg,21,0
6122095,75105-1,1,Dark Brown,Minifigure Parts,21777,MINI FIGURE WIG NO. 101,/cdn/product-assets/element.img.lod5photo.192x192/6122095.jpg,11,0
6127399,75105-1,1,Dark Brown,Minifigure Parts,76382,MINI UPPER PART NO 3175,/cdn/product-assets/element.img.lod5photo.192x192/6127399.jpg,3,0
6127434,75105-1,1,Dark Brown,Minifigure Parts,23966,MINI LOWER PART 'NO. 962',/cdn/product-assets/element.img.lod5photo.192x192/6127434.jpg,1,0
